id,batch,status,source_domain,conflict_kind,empty_hint,sentence,prelabel_rule_v4,suggest_codex,suggest_doubao,suggest_kimi,human_spans,comment
1905-s0008,11,todo,人工智能招聘,span_mismatch,,根据数据做出运营调整，提升活动的参与度、转化率等6、技术数据分析的基础上，参与制定销售相关的客户管理制度，销售考核制度，标准制定等工作；,运营调整/S | 活动的参与度、转/T | 数据分析的基/K | 制定销售相关的客/S,数据分析/S | 客户管理/S,运营调整/S | 技术数据分析/S | 标准制定/S,运营调整/S | 参与度/K | 转化率/K | 数据分析/S | 客户管理制度/K | 销售考核制度/K | 标准制定/S,,
1905-s0010,11,todo,人工智能招聘,span_mismatch,,2、互联网行业平台型网站相关岗位3年以上工作经历；,[],互联网行业/K,互联网行业/K | 平台型网站/K,[],,
1905-s0011,11,todo,人工智能招聘,span_mismatch,,3、极强的数据敏感性、逻辑能力，有中大型电商、金融方面互联网网站运营经验者优先；,数据敏感性/T | 逻辑/T | 电商/K | 金融方/K | 网站运营经验/S,逻辑/T,数据敏感性/T | 逻辑能力/T | 中大型电商/K | 金融/K | 互联网网站运营/S,数据敏感性/T | 逻辑能力/T | 电商/K | 金融/K | 互联网网站运营经验/S,,
1905-s0013,11,todo,人工智能招聘,span_mismatch,,5、具有较强的沟通表达能力，能简明扼要的说明分析过程和结论，善于交流，善于发现问题和解决问题；,沟通表达能力/T | 简明扼要的说明分/T | 善于交流，善于发/T,表达能力/T | 善于交流/T | 解决问题/S,沟通表达能力/T | 交流/T,沟通表达能力/T | 说明分析过程和结论/S | 交流/T | 发现问题/T | 解决问题/T,,
1905-s0014,11,todo,人工智能招聘,span_mismatch,,6、具备非常强的责任心和原则心，敏锐的洞察力，思路清晰、缜密，抗压能力强；,责任心和原则心/T,责任心/T | 思路清晰/T | 抗压能力强/T,责任心/T | 原则心/T | 洞察力/T | 思路清晰/T | 抗压能力/T,责任心/T | 原则心/T | 敏锐的洞察力/T | 思路清晰/T | 缜密/T | 抗压能力/T,,
1905-s0015,11,todo,人工智能招聘,span_mismatch,,7、 具有一定的数据分析和逻辑判断能力，能独立分析和处理问题，并有很好的前瞻性和全局观。,数据分析和逻辑判/S | 独立分析和处理问/S | 的前瞻性和全局观/T,数据分析/S | 判断能力/T,数据分析/S | 逻辑判断/S | 前瞻性/T | 全局观/T,数据分析/S | 逻辑判断能力/T | 独立分析和处理问题/S | 前瞻性/T | 全局观/T,,
1906-s0000,11,todo,人工智能招聘,span_mismatch,,岗位职责：1.根据调研数据，为公司提供专业的统计方法和技术支持，搭建数据分析模型2.数据挖掘，从多种数据维度进行分析，提供项目项目报告3.整理编写数据分析报告，为业务发展提供决策支持4.为运营细节建立数据模型，以用于验证和预测实际运营问题5.为公司运营的各方面作出合理的数据支持和调整依据6.完成临时交办的其他工作任职要求：1.本科以上学历，最好是数学专业、统计专业或者数据处理相关专业2.有过数据建模、数据处理等相关工作经验者优先考虑3.精通excel、PPT，熟练使用SPSSSASR等统计分析软件4.熟悉一定的统计知识和基本的数据处理方法5.极具数据敏感度，具备建较强发现问题和解决问题的能力6.具备较强的责任心和合作意识，能够承受一定的压力7.具有运营数据挖掘经验的优先,调研数据/K | 提供专业的统计方/K | 数据挖掘/S | 数据维度进行分析/S | 数据分析报告/S | 提供决策支持4./S | 建立数据模型/S | 数据支持和调整依/S | 数学专业/K | 统计专/K | 数据处理相关/S | 数据建模/S | PPT，熟练/S | 一定的统计知/K | 数据处理方法5./S | 发现问题和解决问/T | 责任心和合作意识/T | 承受一定的压力7/T | 运营数据挖掘经验/S,技术支持/S | 数据分析/S | 数据挖掘/S | 数据模型/K | 本科/K | 数学/K | 数据处理/S | 相关专业/K | 数据建模/S | excel/S | PPT/S | 统计分析/S | 一定/K | 解决问题/S | 责任心/T,调研数据/K | 统计方法/K | 技术支持/S | 数据挖掘/S | 项目报告/S | 数据支持/S | 调整依据/S | 本科以上学历/K | 数学专业/K | 统计专业/K | 数据处理/S | 数据建模/S | excel/S | PPT/S | SPSSSASR/S | 统计分析软件/K | 统计知识/K | 数据处理方法/K | 数据敏感度/T | 责任心/T | 合作意识/T | 运营数据挖掘/S,统计方法/K | 技术支持/S | 数据分析模型/S | 数据挖掘/S | 数据维度/K | 数据分析报告/S | 决策支持/S | 数据模型/S | 验证和预测/S | 本科以上学历/K | 数学专业/K | 统计专业/K | 数据处理相关专业/K | 数据建模/S | 数据处理/S | excel/S | PPT/S | SPSSSASR/S | 统计分析软件/S | 统计知识/K | 数据处理方法/S | 数据敏感度/T | 发现问题和解决问题的能力/T | 责任心/T | 合作意识/T | 运营数据挖掘经验/S,,
1907-s0000,11,todo,人工智能招聘,span_mismatch,,岗位职责： 1、参与大数据系统平台架构，设计，开发与管理；,参与大/S | 设计，开发与管理/S,大数据/K | 设计/S | 开发/S | 管理/S,大数据系统平台架构/S,大数据系统平台架构/K | 设计/S | 开发/S | 管理/S,,
1907-s0002,11,todo,人工智能招聘,empty_mismatch,, 3、参与构建丰富多样的大数据应用的解决方案；,构建丰/S | 大数据应用的解决/K,大数据/K,[],大数据应用/K | 解决方案/K,,
1907-s0003,11,todo,人工智能招聘,span_mismatch,, 4、参与实时数据处理系统平台架构，设计，开发；,实时数据处理系统/S,实时数据处理/S,实时数据处理系统平台架构/S,实时数据处理系统平台架构/K | 设计/S | 开发/S,,
1907-s0004,11,todo,人工智能招聘,span_mismatch,, 5、参与DW架构，设计，开发；,DW架构，设计，开/S,设计/S,DW架构/S,DW架构/K | 设计/S | 开发/S,,
1907-s0005,11,todo,人工智能招聘,span_mismatch,, 任职要求： 1、精通Hadoop、Hive、Spark、Storm等开源大数据系统的原理和使用；,Storm等/S | 原理和使用/K,Hadoop/S | Hive/S | Spark/S | 大数据/K,Hadoop/S | Hive/S | Spark/S | Storm/S,Hadoop/S | Hive/S | Spark/S | Storm/S | 原理和使用/K,,
1907-s0006,11,todo,人工智能招聘,span_mismatch,, 2、精通数据存储系统，数据处理系统，搜索系统的架构，设计，开发，有相关经验者优先；,数据存储系统，数/S,数据存储系统/S | 数据处理/S,数据存储系统/S | 数据处理系统/S | 搜索系统/S,数据存储系统/S | 数据处理系统/S | 搜索系统/S | 架构/K | 设计/S | 开发/S,,
1907-s0007,11,todo,人工智能招聘,span_mismatch,, 3、熟悉Spring技术生态圈，Mybatis，Bootstrap，AngularJS2等Web开发的前后端框架和技术，有实际项目的经验；,Spring技术生态圈，Mybatis/S | 经验/T,Spring/S | Mybatis/S | Web开发/S,Spring技术生态圈/S | Mybatis/S | Bootstrap/S | AngularJS2/S,Spring/S | Mybatis/S | Bootstrap/S | AngularJS2/S | Web开发/S | 前后端框架/K,,
1907-s0008,11,todo,人工智能招聘,span_mismatch,, 4、熟悉Linux系统，熟练使用shell、Python、Perl 脚本处理工具；,Linux系统/S | 使用shell/S,Linux/S | shell/S | Python/S | Perl/S,Linux系统/S | shell/S | Python/S | Perl/S | 脚本处理工具/K,Linux系统/S | shell/S | Python/S | Perl/S,,
1907-s0009,11,todo,人工智能招聘,span_mismatch,, 5、良好的Java编程能力，熟悉Java开发工具和调试工具；,Java编程能力/S | Java开发工具和调试/S,Java/S | Java开发/S | 调试/S,Java编程能力/S | Java开发工具/S,Java编程能力/S | Java开发工具/S | 调试工具/S,,
1907-s0010,11,todo,人工智能招聘,empty_mismatch,, 6、有良好的产品思维能力，能够根据用户需要设计简单，易用的产品；,产品思维能力/T | 用户需要设/K,[],产品思维能力/T | 用户需要/K,产品思维能力/T | 用户需要/K | 设计/S,,
1907-s0011,11,todo,人工智能招聘,span_mismatch,, 7、有良好的逻辑思维能力及解决问题的能力；,逻辑思维能力及解/T,逻辑思维能力/T | 解决问题/S,逻辑思维能力/T,逻辑思维能力/T | 解决问题的能力/T,,
1908-s0001,11,todo,人工智能招聘,empty_mismatch,,2、负责带领团队完成客户生产系统的应用部署、问题处理及工单处理工作；,带领团队完/T | 应用部署/S | 问题处/S,[],问题处理/S | 工单处理/S,应用部署/S | 问题处理/S | 工单处理/S,,
1908-s0002,12,todo,人工智能招聘,empty_mismatch,,3、基于客户环境及流程，制定运维标准化流程，并监督执行；,制定运/S | 监督执/S,标准化/S,[],运维标准化流程/S | 监督执行/S,,
1908-s0003,12,todo,人工智能招聘,empty_mismatch,,4、代表团队负责与客户的沟通管理工作，负责周例会、月度例会的客户汇报工作；,沟通管/T | 周例会/T | 月度例会/T | 汇报工作/T,月度例会/T | 汇报/S,[],沟通管理/T,,
1908-s0004,12,todo,人工智能招聘,span_mismatch,,任职要求：1、3年以上J2EE开发/运维项目经验，了解微服务架构；,J2EE开发/S | 运维项目/S | 微服务架构/K,微服务/K,J2EE开发/S | 运维项目/S | 微服务架构/K,J2EE/S | 运维/S | 微服务架构/K,,
1908-s0005,12,todo,人工智能招聘,span_mismatch,,2、精通Linux系统，熟悉Mysql、Redis、Nginx、Kafka等基础组件，熟悉Docker等容器化技术3、了解各类服务器设备、网络设备、安全设备、存储设备；,Linux系统，熟悉/S | Docker等容器化技/S | 各类服务器设/K,Linux/S | Mysql/S | Redis/S | Nginx/S | Kafka/S | Docker/S | 网络/K,Linux系统/S | Mysql/S | Redis/S | Nginx/S | Kafka/S | 基础组件/K | Docker/S | 容器化技术/K | 服务器设备/K | 网络设备/K | 安全设备/K | 存储设备/K,Linux/S | Mysql/S | Redis/S | Nginx/S | Kafka/S | Docker/S | 容器化技术/S | 服务器设备/K | 网络设备/K | 安全设备/K | 存储设备/K,,
1908-s0006,12,todo,人工智能招聘,span_mismatch,,4、熟悉云计算平台，如华为云、阿里云等；,云计算平/K | 华为云/K | 阿里云等/K,云计算/K | 阿里云/K,云计算平台/K | 华为云/K | 阿里云/K,云计算平台/K | 华为云/S | 阿里云/S,,
1908-s0007,12,todo,人工智能招聘,span_mismatch,,5、具有运维流程经验，具有实施自动化运维工具项目的经验者优先；,运维流程经验/S | 实施自动化运维工/S,自动化/K,运维流程/S,运维流程/S | 自动化运维工具/S,,
1908-s0009,12,todo,人工智能招聘,span_mismatch,,7、英文读写能力强，可与客户进行英文邮件的沟通与英文文档的撰写；,英文读写能力强/L | 英文邮件的沟通与/L,英文读写能力/L | 沟通/T,英文/L,英文/L | 英文/L,,
1908-s0010,12,todo,人工智能招聘,span_mismatch,,8、大学本科或以上学历。,[],本科/K,大学本科或以上学历/K,大学本科/K,,
1909-s0002,12,todo,人工智能招聘,span_mismatch,, 3、熟悉Hadoop、Storm、HBase、Hive等框架者优先；,Hive等/S,Hadoop/S | HBase/S | Hive/S,Hadoop/S | Storm/S | HBase/S | Hive/S | 框架/K,Hadoop/S | Storm/S | HBase/S | Hive/S,,
1909-s0003,12,todo,人工智能招聘,span_mismatch,, 4、具备良好的团队意识及创新思维、自我激励能力，善于与人合作；,团队意识及创新思/T | 与人合作/T,团队意识/T,团队意识/T | 创新思维/T | 自我激励/T | 与人合作/T,团队意识/T | 创新思维/T | 自我激励能力/T | 与人合作/T,,
1909-s0004,12,todo,人工智能招聘,span_mismatch,, 5、具有良好的表达与沟通能力以及独立思考并解决问题的能力。,表达与沟通能力以/T | 独立思考并解决问/T,沟通能力/T | 解决问题/S,沟通能力/T | 独立思考/T,沟通能力/T | 独立思考/T | 解决问题/T,,
1910-s0000,12,todo,人工智能招聘,span_mismatch,,招聘智能家居推广业务建材/装饰/房地产所在的渠道开展，发展和维护渠道，分享渠道带来的收益分享。,开展，发展和维护/S,智能家居/K | 维护/S,智能家居推广/S,发展和维护渠道/S,,
1910-s0001,12,todo,人工智能招聘,empty_mismatch,,新楼盘智能化推广，可小区设展位推广，电话推广，享受建材圈比较有竞争力的业务提成。,设展位推广，电话/S,[],新楼盘智能化推广/S | 电话推广/S,设展位推广/S | 电话推广/S,,
1910-s0006,12,todo,人工智能招聘,span_mismatch,,工装网络建设,建设/S,网络/K,工装网络建设/S,网络建设/S,,
1911-s0000,12,todo,人工智能招聘,span_mismatch,,工作职责岗位工作重点1、集市侧需求对接沟通2、参与履约侧业务报表开发、分层开发、应用功能开发，代码优化、sql优化岗位关键挑战1、业务中台在探索开发的背景下，数据中台的模型随之存在较高的不稳定性2、工作强度较大，需候选人具备较强的抗压能力具备较强的数据分析，问题分析，逻辑思维能力，团队协作能力，有良好的沟通能力和责任感，能够承担工作压力，独立分析和解决问题者优先;,需求对接沟/S | 业务报表开发、分/S | 模型随/K | 抗压能力具/T | 逻辑思维能力，团/T | 沟通能力和责任感/T | 工作压力，独立分/T,sql/S | 稳定性/T | 抗压能力/T | 数据分析/S | 问题分析/S | 逻辑思维能力/T | 团队协作能力/T | 沟通能力/T | 责任感/T | 解决问题/S,集市侧需求对接沟通/S | 履约侧业务报表开发/S | 分层开发/S | 应用功能开发/S | 代码优化/S | sql优化/S | 抗压能力/T | 数据分析/S | 问题分析/S | 逻辑思维/T | 团队协作/T | 沟通能力/T | 责任感/T,需求对接沟通/S | 业务报表开发/S | 分层开发/S | 应用功能开发/S | 代码优化/S | sql优化/S | 抗压能力/T | 数据分析/S | 问题分析/S | 逻辑思维能力/T | 团队协作能力/T | 沟通能力/T | 责任感/T | 独立分析/T | 解决问题/T,,
1911-s0002,12,todo,人工智能招聘,span_mismatch,,知识:1、具备金融方面学科知识2、具备大数据相关知识3、英文读写能力较佳技能:1、熟悉sql2、熟悉java关键历练:业务:从事金融相关行业技术:从事大数据相关项目开发经验，具备独立完成报表设计到落地的经验任职资格1.计算机相关专业本科以上学历，数据开发工作经验一年以上，有保险行业数据开发工作经验优先考虑2.熟练掌握Java/Python/Scala等至少一门编程语言;,金融方面学科知识/K | 大数据相关知识3/K | 英文读写能力较佳/L | java关键/S | 金融相关行业技术/K | 大数据相关项目开/S | 独立完成报表设计/S | 数据开发工作经验/S | 保险行业数据开发/S | Scala等至少/S,金融方面学科知识/K | 大数据/K | 英文读写能力/L | java/S | 项目开发/S | 计算机相关专业/K | 本科/K | Java/S | Python/S | Scala/S | 编程语言/K,英文/L | sql2/S | java/S | 本科以上学历/K | 数据开发/S | 保险行业数据开发/S | Java/S | Python/S | Scala/S | 编程语言/K,金融/K | 大数据/K | 英文/L | sql2/S | java/S | 金融/K | 大数据/K | 报表设计/S | 计算机相关专业/K | 数据开发/S | 保险行业数据开发/S | Java/S | Python/S | Scala/S,,
1911-s0004,12,todo,人工智能招聘,span_mismatch,,3.掌握数据库知识，较强的SQL/ETL开发能力4.有大数据分布式计算平台开发经验，熟悉Hadoop.Hive，Storm，Spark，Flink，Kafka等大数据框架原理及应用，有阿里大数据生态Maxcompute，dataworks项目经验的优先考虑;,数据库知/K | ETL开发/S | 大数据分布式计算/S | Hadoop.Hive/S | Kafka等/S | 阿里大数据生态Maxcompute/K,数据库/K | SQL/S | 大数据/K | 分布式/K | Hadoop/S | Hive/S | Spark/S | Flink/S | Kafka/S | 阿里大数据生态Maxcompute/K,数据库知识/K | SQL/S | ETL开发/S | 大数据分布式计算平台开发/S | Hadoop/S | Hive/S | Storm/S | Spark/S | Flink/S | Kafka/S | 大数据框架原理/K | 阿里大数据生态/K | Maxcompute/S | dataworks/S,数据库/K | SQL/S | ETL开发/S | 大数据分布式计算平台/S | Hadoop/S | Hive/S | Storm/S | Spark/S | Flink/S | Kafka/S | Maxcompute/S | dataworks/S,,
1912-s0000,12,todo,人工智能招聘,empty_mismatch,,岗位职责：1、基于运营数据和用户行为，对产品提出有效的优化需求并推动落地，并能针对每项优化需求量化去评估效果；,运营数据和用户行/K | 优化需求并推动落/S | 求量化去评估效果/S,[],运营数据/K | 用户行为/K,运营数据/K | 用户行为/K | 优化需求/S | 评估效果/S,,
1912-s0001,12,todo,人工智能招聘,empty_mismatch,,2、负责APP积分系统的整体运营，能通过有效运营手段提升项目用户参与数和粘度；,运营/S | 通过有效运营手段/S,[],运营手段/S,运营/S | 运营手段/S,,
1912-s0003,12,todo,人工智能招聘,span_mismatch,,4、能配合用户运营各项交互玩法，搭建完善的产品功能，支撑拉新、促活需求；,配合用/T | 各项交互玩法，搭/S | 支撑拉/S | 促活需/K,用户运营/S,拉新/S | 促活/S,用户运营/S | 交互玩法/S | 拉新/S | 促活/S,,
1912-s0004,12,todo,人工智能招聘,empty_mismatch,,5、负责APP资源位规划配置，对APP资源位合理性和流量产出负责。,APP资源位规划配置/S | APP资源位合理性和/K,[],APP资源位规划/S | APP资源位合理性/K | 流量产出/K,资源位规划配置/S,,
1912-s0005,12,todo,人工智能招聘,span_mismatch,,任职要求：1、大专以上学历，有两年以上平台运营或产品运营工作经验，男女不限；,平台运营或产品运/S,大专/K | 平台运营/S | 产品运营/S,大专以上学历/K | 平台运营/S | 产品运营/S,平台运营/S | 产品运营/S,,
1912-s0006,12,todo,人工智能招聘,span_mismatch,,2、良好的逻辑思维能力，善于通过数据分析去挖掘用户需求和判断用户动向；,逻辑思维能力/T | 数据分析去挖掘用/S | 判断用/S,逻辑思维能力/T | 数据分析/S,逻辑思维/T | 数据分析/S,逻辑思维能力/T | 数据分析/S | 挖掘用户需求/S | 判断用户动向/S,,
1912-s0007,12,todo,人工智能招聘,span_mismatch,,3、对互联网产品始终保持敏度和好奇心，有及时分析问题及解决问题能力；,分析问题及解决问/S,分析问题/S | 解决问题能力/T,好奇心/T,分析问题/T | 解决问题/T,,
1912-s0008,12,todo,人工智能招聘,span_mismatch,,4、能熟悉淘宝、京东、拼多多等主流电商平台优势特色，了解淘宝客CPS业务逻辑者更佳；,淘宝/K | 京东/K | 淘宝客CPS业务/K,淘宝/K,淘宝/K | 京东/K | 拼多多/K | 主流电商平台/K | 淘宝客CPS业务逻辑/K,淘宝/K | 京东/K | 拼多多/K | 淘宝客CPS业务/K,,
1913-s0000,12,todo,人工智能招聘,empty_mismatch,,●面向酒店、地产行业客户，配合上级领导和工程部完成售前/售后 的技术支持工作。,上级领导和工程部/T | 售前/S | 售后/S | 技术支持工作/S,售后/S | 技术支持/S,[],技术支持/S,,
1913-s0001,12,todo,人工智能招聘,empty_mismatch,, ●负责与客户的售前方案沟通，并能够参与技术方案的编写。,售前方案沟通/T | 技术方案的编写/K,[],售前方案沟通/S,方案沟通/T,,
1913-s0003,12,todo,人工智能招聘,empty_mismatch,, ●负责配合大区运营中心经理，完成相关项目招投标工作。,配合大/T | 完成相关/T,[],项目招投标/S,配合/T | 招投标/S,,
1913-s0007,12,todo,人工智能招聘,span_mismatch,, ●具备良好的沟通和业务理解能力，能够不断地自我学习，能承受较强的工作压力，能适应较为频繁的出差。,沟通和业/T,沟通/T | 理解能力/T,沟通/T | 业务理解/S | 自我学习/T,业务理解能力/T | 自我学习/T,,
1913-s0008,12,todo,人工智能招聘,span_mismatch,, ●具备较好的口头及书面表达能力和逻辑思维能力，可以清晰的给客户传达公司产品或项目解决方案的功能和亮点，具备要求控制和需求引导能力。,书面表达能力和逻/T | 传达公/S | 需求引导能力/T,表达能力/T | 逻辑思维能力/T,书面表达/T | 逻辑思维/T | 需求引导/S,书面表达能力/T | 逻辑思维能力/T | 需求引导能力/T,,
1914-s0000,12,todo,人工智能招聘,span_mismatch,,职责 1、负责网站C端用户运营团队建设及管理；,网站C端用户运营/S,用户运营/S,网站C端用户运营团队建设/S,用户运营/S | 团队建设/S | 管理/S,,
1914-s0003,12,todo,人工智能招聘,empty_mismatch,, 4、结合业务需求，提出产品改进方向并协助研发打点，监控效果持续改进；,提出产品改进方向/S,[],持续改进/S,产品改进/S | 研发/S | 监控/S,,
1914-s0004,12,todo,人工智能招聘,empty_mismatch,, 5、协助市场运营，分析推广效果，制定有效的推广策略，保证流量/用户增长。,分析推广效果，制/S,分析推广效果/S,[],市场运营/S | 分析推广效果/S,,
1914-s0007,12,todo,人工智能招聘,span_mismatch,, 3、有大数据分析、大数据挖掘及大数据计算工具等工作经验优先考虑 4、独立负责过一款以上产品增长经验优先考虑；,大数据分析/K | 大数/K | 独立负责过一款以/S,数据分析/S | 数据挖掘/S,大数据分析/S | 大数据挖掘/S | 大数据计算工具/K | 产品增长/S,大数据分析/K | 大数据挖掘/K | 大数据计算工具/S | 产品增长/S,,
1915-s0000,12,todo,人工智能招聘,empty_mismatch,,"（因为boss上人较多，无法一一回复，如有意向可以直接发送简历到此邮箱：951670258＠qq.com，谢谢） 职位描述： 1. 参与产品后台服务端开发, 和高并发高压力服务端性能调优;",产品后台服务端开/S | 高并发高/K,[],产品后台服务端开发/S | 高压力服务端性能调优/S,服务端开发/S | 高并发/K | 高压力/K | 性能调优/S,,
1915-s0002,12,todo,人工智能招聘,span_mismatch,, 任职要求: 1. 本科以上学历，计算机及其相关专业，2年以上JAVA相关开发工作经验;,JAVA相关/S | 开发工作/S,本科/K | 计算机/K | 相关专业/K | JAVA/S,本科以上学历/K,本科以上学历/K | 计算机/K | JAVA/S | 开发/S,,
1915-s0003,12,todo,人工智能招聘,span_mismatch,," 2. 熟练掌握Spring, Mybatis, Struts等相关技术, 能独立完成项目开发;",Struts等/S | 能独立完成项目开/S,Spring/S | Mybatis/S | 项目开发/S,Spring/S | Mybatis/S | Struts/S | 相关技术/K,Spring/S | Mybatis/S | Struts/S | 项目开发/S,,
1915-s0004,12,todo,人工智能招聘,span_mismatch,," 3. 熟悉MySQL和mongodb, redis等NOSQL DB, 要求有高并发, 高压力处理经验优先;","MySQL和mongodb, redis等NOSQL/S | 高并发/S | 高压力处理经验/S",MySQL/S | mongodb/S | redis/S | 高并发/S,MySQL/S | mongodb/S | redis/S | NOSQL DB/K | 高压力处理/S,MySQL/S | mongodb/S | redis/S | NOSQL/K | 高并发/K | 高压力处理/S,,
1915-s0006,12,todo,人工智能招聘,span_mismatch,," 5.善于学习, 有良好的逻辑思维, 具有很强的分析问题和解决问题的能力, 具备良好的表达和沟通能力及团队合作精神;",学习/T | 有良好的逻辑思维/T | 分析问题和解决问/S | 表达和沟通能力及/T,有良好/T | 分析问题/S | 解决问题/S | 沟通能力/T | 团队合作精神/T,学习/T | 逻辑思维/T | 沟通能力/T | 团队合作精神/T,逻辑思维/T | 分析问题/S | 解决问题/S | 沟通能力/T | 团队合作精神/T,,
1916-s0000,12,todo,人工智能招聘,span_mismatch,,公司以家具体验共享直购模式为基础，结合图像识别和增强现实技术，开拓现实场景购物市场，急需有远见卓识的专业人员加入！,图像识别和增强现/K | 有远见卓识的专业/K,图像识别/K,图像识别/K | 增强现实技术/K,图像识别/K | 增强现实/K,,
1916-s0001,12,todo,人工智能招聘,span_mismatch,,算法工程师：1.负责大数据应用项目的算法规划、数据挖掘和模型设计，涉及到的技术包括深度学习、人工智能、文本处理等。,算法规划/S | 数据挖/S | 深度学习/K | 人工智/K,算法/K | 大数据/K | 数据挖掘/S | 深度学习/K | 人工智能/K,数据挖掘/S | 模型设计/S | 深度学习/K | 人工智能/K | 文本处理/K,算法规划/S | 数据挖掘/S | 模型设计/S | 深度学习/K | 人工智能/K | 文本处理/S,,
1916-s0002,12,todo,人工智能招聘,empty_mismatch,,2.与业务结合，能深入理解行业需求与客户痛点；,与业务结合/T | 深入理解行/T | 客户痛点/K,[],业务结合/S | 客户痛点/K,深入理解/T | 行业需求/K,,
1916-s0003,12,todo,人工智能招聘,span_mismatch,,通过算法和模型解决业务问题并验证。,算法和模型解/S | 业务问题并/K,算法/K,模型解决业务问题/S,算法/K | 模型/K,,
1916-s0005,12,todo,人工智能招聘,span_mismatch,,4.与数据开发、应用开发、产品开发人员配合联调，做模型上线和运维工作，需要持续跟踪和优化模型。,开发/S | 联调/S | 上线和运维工作/S | 跟踪和优化模/S,开发/S | 应用开发/S | 产品开发/S | 联调/S | 上线/S | 优化模型/K,联调/S | 模型上线/S,联调/S | 上线/S | 运维/S | 跟踪/S | 优化模型/S,,
1916-s0006,12,todo,人工智能招聘,span_mismatch,,职位要求：1.计算机或相关专业本科及以上学历，两年以上相关工作经验；,[],计算机/K | 相关专业/K | 本科及以上学历/K,本科及以上学历/K,计算机/K | 本科及以上学历/K,,
1916-s0008,12,todo,人工智能招聘,span_mismatch,,3.熟练使用常见的协同过滤、矩阵分解、关联算法；,使用常/S | 协同过滤/S | 矩阵分/S,算法/K,协同过滤/K | 矩阵分解/K | 关联算法/K,协同过滤/S | 矩阵分解/S | 关联算法/S,,
1917-s0000,12,todo,人工智能招聘,empty_mismatch,,职责描述： 1、负责对接小家电或者智能3C品类产品并制定销售策略和规划，确保渠道目标达成；,对接小/S | 制定销售策略和规/S,[],渠道目标达成/S,对接/S | 制定销售策略/S | 规划/S,,
1917-s0001,12,todo,人工智能招聘,span_mismatch,, 2、负责渠道每日、周、月监控的数据：营销数据、商品管理、顾客管理，对各种销售数据进行统计和分析，提出建设性意见；,营销数据/K | 商品管/K | 销售数据进行统计/S,营销数据/K,营销数据/K | 商品管理/S | 顾客管理/S,营销数据/K | 商品管理/S | 顾客管理/S | 统计/S | 分析/S,,
1917-s0002,12,todo,人工智能招聘,empty_mismatch,, 3、制订完整的线上京东、天猫等平台产品规划和策略，针对竞品制定应对措施；,制订完/S | 产品规划和策略/S | 制定应/S,产品规划/S,[],产品规划/S | 策略/S | 制定应对措施/S,,
1917-s0004,12,todo,人工智能招聘,span_mismatch,, 任职要求： 1.本科以上学历，京东或者天猫等平台运营经验或者品牌销售经验3年以上，智能和小家电类目工作经验者优先；,京东或者/K | 天猫等平台运营经/K | 品牌销售经验/S,本科/K | 平台运营/S,本科以上学历/K | 品牌销售/S | 小家电类目工作/S,本科以上学历/K | 平台运营经验/S | 品牌销售经验/S,,
1917-s0005,13,todo,人工智能招聘,empty_mismatch,, 2.年GMV过亿品牌操盘经营优先；,品牌操盘经营优先/S,[],品牌操盘/S,品牌操盘/S | 经营/S,,
1918-s0004,13,todo,人工智能招聘,span_mismatch,,【特别提示】搜狗欢迎专情的你，所以提醒你只能选择两个项目，请慎重投递【岗位职责】1.负责网页搜索开放平台产品策划和运营；,网页搜索开放平台/K | 运营/S,产品策划/S,网页搜索开放平台产品策划/S,网页搜索开放平台/K | 产品策划/S | 运营/S,,
1918-s0005,13,todo,人工智能招聘,span_mismatch,,2.深入分析市场需求、竞争态势和用户需求，合理规划产品开发计划，通过运营不断提升使用量；,分析市场需求/S | 规划产品开发计划/S | 运营不/S | 提升使用量/S,产品开发/S,运营/S,分析市场需求/S | 规划产品开发计划/S | 运营/S,,
1918-s0007,13,todo,人工智能招聘,span_mismatch,,4.开放平台产品创新和探索。,创新和探索/S,创新/T,开放平台产品创新/S,产品创新/S | 探索/S,,
1918-s0008,13,todo,人工智能招聘,span_mismatch,,【任职条件】1.计算机或相关专业本科以上学历；,[],计算机/K | 相关专业/K | 本科/K,本科以上学历/K,计算机/K | 本科以上学历/K,,
1918-s0010,13,todo,人工智能招聘,span_mismatch,,3.有丰富的产品规划经验，强烈的互联网用户需求意识，良好的文字和语言表达能力；,产品规划经验/S | 互联网用户需求意/K | 语言表达能力/T,产品规划/S | 表达能力/T,产品规划/S | 互联网用户需求意识/T | 语言表达能力/T,产品规划经验/S | 互联网用户需求意识/T | 语言表达能力/T,,
1918-s0011,13,todo,人工智能招聘,span_mismatch,,4.优秀的沟通协作和业务管理能力，逻辑思维能力强；,沟通协/T | 业务管理能/T | 逻辑思维能/T,管理能力/T | 逻辑思维能力/T,沟通协作/T | 业务管理/S | 逻辑思维/T,沟通协作/T | 业务管理能力/T | 逻辑思维能力强/T,,
1919-s0002,13,todo,人工智能招聘,empty_mismatch,,3、有渠道相关资源及区域市场销售经验者优先。,区域市场销售经验/K,[],区域市场销售/S,渠道相关资源/K | 区域市场销售经验/K,,
1920-s0000,13,todo,人工智能招聘,span_mismatch,,岗位职责: 1、协助工程师完成电路板焊接、调试、测试等工作;,电路板焊接/S | 调试/S,调试/S,电路板焊接/S,电路板焊接/S | 调试/S | 测试/S,,
